Sehir,Zaman_Damgasi,Sicaklik_C,Nem_Yuzde,Ruzgar_kmh,Basinc_hPa,Hissedilen_C,Yagis_Var_Mi
Adana,2024-01-09 12:00:00,17.22222222222222,68.0,12.07005,1011.0067345,11.11111111111111,1.0
Adana,2024-01-09 13:00:00,17.5,66.0,17.70274,1009.9908175,11.11111111111111,0.0
Adana,2024-01-09 14:00:00,17.5,66.0,14.48406,1009.482859,11.11111111111111,0.0
Adana,2024-01-09 15:00:00,17.5,61.0,15.28873,1008.466942,10.0,0.0
Adana,2024-01-09 16:00:00,16.666666666666664,72.5,12.87472,1008.466942,11.666666666666666,1.0
Adana,2024-01-09 17:00:00,13.888888888888891,90.33333333333333,19.848526666666668,1009.4828590000001,12.407407407407407,1.0
Adana,2024-01-09 18:00:00,12.777777777777779,94.0,11.667715000000001,1009.73683825,12.222222222222221,1.0
Adana,2024-01-09 19:00:00,12.777777777777779,94.0,16.0934,1009.4828590000001,12.222222222222221,1.0
Adana,2024-01-09 20:00:00,12.777777777777779,94.0,12.87472,1009.482859,12.222222222222221,1.0
Adana,2024-01-09 21:00:00,12.777777777777779,94.0,9.65604,1009.9908175,12.222222222222221,1.0
Adana,2024-01-09 22:00:00,12.222222222222221,97.0,21.72609,1009.482859,11.666666666666666,1.0
Adana,2024-01-09 23:00:00,12.222222222222221,94.0,14.48406,1010.498776,11.11111111111111,1.0
Adana,2024-01-10 00:00:00,12.222222222222221,94.0,11.26538,1010.498776,11.11111111111111,1.0
Adana,2024-01-10 01:00:00,12.222222222222221,94.0,10.46071,1010.498776,11.11111111111111,1.0
Adana,2024-01-10 02:00:00,11.666666666666666,97.0,17.70274,1009.482859,11.11111111111111,1.0
Adana,2024-01-10 03:00:00,11.11111111111111,94.0,14.48406,1009.482859,10.0,0.0
Adana,2024-01-10 04:00:00,10.555555555555555,94.0,9.65604,1009.482859,9.444444444444445,0.0
Adana,2024-01-10 05:00:00,9.444444444444445,97.0,6.43736,1009.482859,8.88888888888889,0.0
Adana,2024-01-10 06:00:00,8.88888888888889,93.0,4.023350000000001,1009.482859,7.777777777777778,0.0
Adana,2024-01-10 07:00:00,9.444444444444445,97.0,6.43736,1009.482859,8.88888888888889,0.0
Adana,2024-01-10 08:00:00,10.555555555555555,94.0,4.023350000000001,1010.498776,9.444444444444445,0.0
Adana,2024-01-10 09:00:00,11.666666666666666,91.0,4.82802,1010.498776,10.0,0.0
Adana,2024-01-10 10:00:00,12.5,85.0,8.0467,1011.0067345,10.0,0.0
Adana,2024-01-10 11:00:00,12.777777777777779,79.5,9.65604,1010.498776,9.444444444444445,0.0
Adana,2024-01-10 12:00:00,13.88888888888889,77.0,6.43736,1010.498776,10.0,0.0
Adana,2024-01-10 13:00:00,14.444444444444445,74.5,8.0467,1010.498776,10.0,0.0
Adana,2024-01-10 14:00:00,15.0,72.0,9.65604,1009.482859,10.0,0.0
Adana,2024-01-10 15:00:00,15.0,72.0,8.85137,1009.482859,10.0,0.0
Adana,2024-01-10 16:00:00,15.0,72.0,11.26538,1009.482859,10.0,0.0
Adana,2024-01-10 17:00:00,13.88888888888889,77.0,12.07005,1009.482859,10.0,0.0
Adana,2024-01-10 18:00:00,13.88888888888889,82.0,12.07005,1009.9908175,11.11111111111111,0.0
Adana,2024-01-10 19:00:00,12.777777777777779,82.0,10.46071,1010.498776,10.0,0.0
Adana,2024-01-10 20:00:00,13.518518518518519,78.66666666666667,12.874720000000002,1010.498776,10.0,1.0
Adana,2024-01-10 21:00:00,12.777777777777779,82.0,10.46071,1010.498776,10.0,0.0
Adana,2024-01-10 22:00:00,12.5,85.0,10.46071,1010.498776,10.0,0.0
Adana,2024-01-10 23:00:00,12.777777777777779,79.5,16.093400000000003,1009.9908175,9.444444444444445,0.0
Adana,2024-01-11 00:00:00,12.777777777777779,77.0,9.65604,1010.498776,8.88888888888889,0.0
Adana,2024-01-11 01:00:00,12.777777777777779,77.0,10.46071,1009.482859,8.88888888888889,0.0
Adana,2024-01-11 02:00:00,12.777777777777779,77.0,11.26538,1009.482859,8.88888888888889,0.0
Adana,2024-01-11 03:00:00,12.5,79.5,9.65604,1009.482859,8.88888888888889,0.0
Adana,2024-01-11 04:00:00,11.666666666666666,85.0,13.67939,1010.498776,8.88888888888889,0.0
Adana,2024-01-11 05:00:00,11.111111111111109,88.0,6.973806666666667,1010.498776,8.88888888888889,1.0
Adana,2024-01-11 06:00:00,11.11111111111111,88.0,9.65604,1010.498776,8.88888888888889,0.0
Adana,2024-01-11 07:00:00,11.11111111111111,88.0,8.0467,1010.498776,8.88888888888889,0.0
Adana,2024-01-11 08:00:00,11.11111111111111,88.0,6.43736,1010.498776,8.88888888888889,0.0
Adana,2024-01-11 09:00:00,12.222222222222221,88.0,4.023350000000001,1011.0067345,10.0,0.0
Adana,2024-01-11 10:00:00,13.333333333333334,77.0,6.43736,1011.5146930000001,9.444444444444445,0.0
Adana,2024-01-11 11:00:00,14.444444444444445,72.0,13.67939,1010.498776,9.444444444444445,0.0
Adana,2024-01-11 12:00:00,16.11111111111111,65.5,12.07005,1009.9908175,9.444444444444445,0.0
Adana,2024-01-11 13:00:00,16.11111111111111,63.0,10.46071,1009.482859,8.88888888888889,0.0
Adana,2024-01-11 14:00:00,17.22222222222222,57.0,9.65604,1008.466942,8.333333333333334,0.0
Adana,2024-01-11 15:00:00,17.22222222222222,59.0,6.43736,1008.466942,8.88888888888889,0.0
Adana,2024-01-11 16:00:00,16.11111111111111,63.0,8.85137,1008.466942,8.88888888888889,0.0
Adana,2024-01-11 17:00:00,14.444444444444445,74.5,9.65604,1009.482859,10.0,0.0
Adana,2024-01-11 18:00:00,12.222222222222221,88.0,6.43736,1009.482859,10.0,0.0
Adana,2024-01-11 19:00:00,12.222222222222221,88.0,0.0,1009.482859,10.0,0.0
Adana,2024-01-11 20:00:00,11.666666666666666,94.0,2.41401,1009.482859,10.555555555555555,0.0
Adana,2024-01-11 21:00:00,12.222222222222221,88.0,1.60934,1009.482859,10.0,0.0
Adana,2024-01-11 22:00:00,11.11111111111111,91.0,6.43736,1009.482859,9.444444444444445,0.0
